N,threads,time_ms
N=100, threads=1, time=3.789 мс
N=100, threads=2, time=3.577 мс
N=100, threads=4, time=2.098 мс
N=100, threads=8, time=2.146 мс
N=100, threads=16, time=2.648 мс
N=100, threads=32, time=1.847 мс
N=100, threads=64, time=3.345 мс
Число поток не должно быть больше размерности матрицы! Пример: ./4 размер-матрицы колво-потоков
N=250, threads=1, time=52.918 мс
N=250, threads=2, time=27.667 мс
N=250, threads=4, time=21.963 мс
N=250, threads=8, time=15.522 мс
N=250, threads=16, time=16.980 мс
N=250, threads=32, time=17.773 мс
N=250, threads=64, time=22.143 мс
N=250, threads=128, time=34.109 мс
N=500, threads=1, time=410.520 мс
N=500, threads=2, time=212.099 мс
N=500, threads=4, time=141.429 мс
N=500, threads=8, time=122.380 мс
N=500, threads=16, time=113.275 мс
N=500, threads=32, time=124.933 мс
N=500, threads=64, time=145.820 мс
N=500, threads=128, time=181.522 мс
N=750, threads=1, time=1637.470 мс
N=750, threads=2, time=830.614 мс
N=750, threads=4, time=492.230 мс
N=750, threads=8, time=396.774 мс
N=750, threads=16, time=424.823 мс
N=750, threads=32, time=404.232 мс
N=750, threads=64, time=476.548 мс
N=750, threads=128, time=555.490 мс
N=1000, threads=1, time=4216.975 мс
N=1000, threads=2, time=2158.369 мс
N=1000, threads=4, time=1272.819 мс
N=1000, threads=8, time=1082.814 мс
N=1000, threads=16, time=1086.414 мс
N=1000, threads=32, time=1121.918 мс
N=1000, threads=64, time=1232.337 мс
N=1000, threads=128, time=1413.271 мс
N=1250, threads=1, time=17880.705 мс
N=1250, threads=2, time=8451.426 мс
N=1250, threads=4, time=3887.129 мс
N=1250, threads=8, time=2815.920 мс
N=1250, threads=16, time=2883.034 мс
N=1250, threads=32, time=2774.331 мс
N=1250, threads=64, time=3223.693 мс
N=1250, threads=128, time=3968.190 мс
N=1500, threads=1, time=23635.608 мс
N=1500, threads=2, time=12158.521 мс
N=1500, threads=4, time=6976.628 мс
N=1500, threads=8, time=5394.441 мс
N=1500, threads=16, time=5278.951 мс
N=1500, threads=32, time=5840.600 мс
N=1500, threads=64, time=5815.254 мс
N=1500, threads=128, time=6616.707 мс
N=1750, threads=1, time=53069.977 мс
N=1750, threads=2, time=25601.953 мс
N=1750, threads=4, time=12636.500 мс
N=1750, threads=8, time=8684.493 мс
N=1750, threads=16, time=8859.390 мс
N=1750, threads=32, time=9816.131 мс
N=1750, threads=64, time=10333.668 мс
N=1750, threads=128, time=11421.674 мс
N=2000, threads=1, time=47758.499 мс
N=2000, threads=2, time=25259.084 мс
N=2000, threads=4, time=16403.537 мс
N=2000, threads=8, time=13040.987 мс
N=2000, threads=16, time=13908.291 мс
N=2000, threads=32, time=13496.862 мс
N=2000, threads=64, time=13641.971 мс
N=2000, threads=128, time=14797.196 мс
N=2250, threads=1, time=121131.151 мс
N=2250, threads=2, time=58996.577 мс
N=2250, threads=4, time=28574.757 мс
N=2250, threads=8, time=20389.940 мс
N=2250, threads=16, time=23495.109 мс
N=2250, threads=32, time=24169.450 мс
N=2250, threads=64, time=24264.440 мс
N=2250, threads=128, time=27261.317 мс
N=2500, threads=1, time=131597.139 мс
N=2500, threads=2, time=67261.349 мс
N=2500, threads=4, time=39715.671 мс
N=2500, threads=8, time=32300.586 мс
N=2500, threads=16, time=31632.311 мс
N=2500, threads=32, time=32343.504 мс
N=2500, threads=64, time=32158.138 мс
N=2500, threads=128, time=36383.090 мс
